1,api-ms-win-core-console-l1-1-0.dll,4/20/2018 8:28:52 AM,19208 bytes 
2,api-ms-win-core-datetime-l1-1-0.dll,4/20/2018 8:28:50 AM,18696 bytes 
3,api-ms-win-core-debug-l1-1-0.dll,4/20/2018 8:28:56 AM,18696 bytes 
4,api-ms-win-core-errorhandling-l1-1-0.dll,4/20/2018 8:28:58 AM,18696 bytes 
5,api-ms-win-core-file-l1-1-0.dll,4/20/2018 8:29:02 AM,22280 bytes 
6,api-ms-win-core-file-l1-2-0.dll,4/20/2018 8:37:18 AM,18696 bytes 
7,api-ms-win-core-file-l2-1-0.dll,4/20/2018 8:37:22 AM,18696 bytes 
8,api-ms-win-core-handle-l1-1-0.dll,4/20/2018 8:37:34 AM,18696 bytes 
9,api-ms-win-core-heap-l1-1-0.dll,4/20/2018 8:37:36 AM,19208 bytes 
10,api-ms-win-core-interlocked-l1-1-0.dll,4/20/2018 8:37:38 AM,18696 bytes 
11,api-ms-win-core-libraryloader-l1-1-0.dll,4/20/2018 8:37:14 AM,19720 bytes 
12,api-ms-win-core-localization-l1-2-0.dll,4/20/2018 8:37:18 AM,21256 bytes 
13,api-ms-win-core-memory-l1-1-0.dll,4/20/2018 8:37:20 AM,19208 bytes 
14,api-ms-win-core-namedpipe-l1-1-0.dll,4/20/2018 8:37:42 AM,18696 bytes 
15,api-ms-win-core-processenvironment-l1-1-0.dll,4/20/2018 8:37:36 AM,19720 bytes 
16,api-ms-win-core-processthreads-l1-1-0.dll,4/20/2018 8:37:22 AM,20744 bytes 
17,api-ms-win-core-processthreads-l1-1-1.dll,4/20/2018 8:37:24 AM,19208 bytes 
18,api-ms-win-core-profile-l1-1-0.dll,4/20/2018 8:37:34 AM,18184 bytes 
19,api-ms-win-core-rtlsupport-l1-1-0.dll,4/20/2018 8:37:34 AM,19208 bytes 
20,api-ms-win-core-string-l1-1-0.dll,4/20/2018 8:37:22 AM,18696 bytes 
21,api-ms-win-core-synch-l1-1-0.dll,4/20/2018 8:37:24 AM,20744 bytes 
22,api-ms-win-core-synch-l1-2-0.dll,4/20/2018 8:37:20 AM,19208 bytes 
23,api-ms-win-core-sysinfo-l1-1-0.dll,4/20/2018 8:37:36 AM,19720 bytes 
24,api-ms-win-core-timezone-l1-1-0.dll,4/20/2018 8:37:24 AM,19208 bytes 
25,api-ms-win-core-util-l1-1-0.dll,4/20/2018 8:37:38 AM,18696 bytes 
26,api-ms-win-crt-conio-l1-1-0.dll,4/20/2018 8:37:26 AM,19720 bytes 
27,api-ms-win-crt-convert-l1-1-0.dll,4/20/2018 8:37:24 AM,22792 bytes 
28,api-ms-win-crt-environment-l1-1-0.dll,4/20/2018 8:37:36 AM,19208 bytes 
29,api-ms-win-crt-filesystem-l1-1-0.dll,4/20/2018 8:37:26 AM,20744 bytes 
30,api-ms-win-crt-heap-l1-1-0.dll,4/20/2018 8:37:36 AM,19720 bytes 
31,api-ms-win-crt-locale-l1-1-0.dll,4/20/2018 8:37:36 AM,19208 bytes 
32,api-ms-win-crt-math-l1-1-0.dll,4/20/2018 8:37:18 AM,27912 bytes 
33,api-ms-win-crt-multibyte-l1-1-0.dll,4/20/2018 8:37:20 AM,26888 bytes 
34,api-ms-win-crt-private-l1-1-0.dll,4/20/2018 8:37:26 AM,71432 bytes 
35,api-ms-win-crt-process-l1-1-0.dll,4/20/2018 8:37:26 AM,19720 bytes 
36,api-ms-win-crt-runtime-l1-1-0.dll,4/20/2018 8:37:26 AM,23304 bytes 
37,api-ms-win-crt-stdio-l1-1-0.dll,4/20/2018 8:37:30 AM,24840 bytes 
38,api-ms-win-crt-string-l1-1-0.dll,4/20/2018 8:37:32 AM,24840 bytes 
39,api-ms-win-crt-time-l1-1-0.dll,4/20/2018 8:37:30 AM,21256 bytes 
40,api-ms-win-crt-utility-l1-1-0.dll,4/20/2018 8:37:38 AM,19208 bytes 
41,ClrPhlib.dll,10/25/2021 7:40:06 PM,781312 bytes 
42,ClrPhlib.pdb,10/25/2021 7:40:06 PM,5181440 bytes 
43,dbghelp.dll,6/12/2021 5:20:22 PM,1903616 bytes 
44,Dependencies.exe,10/25/2021 7:40:16 PM,25600 bytes 
45,Dependencies.exe.config,10/25/2021 7:39:04 PM,186 bytes 
46,Dependencies.pdb,10/25/2021 7:40:16 PM,54784 bytes 
47,DependenciesGui.exe,10/25/2021 7:40:16 PM,202752 bytes 
48,DependenciesGui.exe.config,10/25/2021 7:39:04 PM,2211 bytes 
